,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Wind_m/s5,Precipitation_mm5,Wind_m/s6,Precipitation_mm6,Wind_m/s7,Precipitation_mm7,Target: Max_temp
53,2017.08.30,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,3.5,0.0,28.5
54,2017.08.31,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,31.0
55,2017.09.01,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,22.2
56,2017.09.02,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,20.2
57,2017.09.03,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,18.9
58,2017.09.04,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,21.6
59,2017.09.05,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,22.2
60,2017.09.06,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,19.5
61,2017.09.07,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,21.4
62,2017.09.08,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,24.5
63,2017.09.09,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,26.0
64,2017.09.10,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,26.1
65,2017.09.11,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,20.1
66,2017.09.12,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,22.0
67,2017.09.13,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,22.7
68,2017.09.14,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,17.3
69,2017.09.15,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,19.1
70,2017.09.16,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,16.6
71,2017.09.17,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,17.3
72,2017.09.18,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,14.8
73,2017.09.19,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,16.3
74,2017.09.20,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,13.8
75,2017.09.21,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,17.0
76,2017.09.22,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,13.0
77,2017.09.23,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,16.7
78,2017.09.24,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,16.9
79,2017.09.25,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,20.9
80,2017.09.26,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,16.7
81,2017.09.27,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,16.6
82,2017.09.28,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,16.8
83,2017.09.29,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,16.9
84,2017.09.30,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,16.2
85,2017.10.01,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,17.0
86,2017.10.02,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,15.6
87,2017.10.03,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,16.1
88,2017.10.04,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,19.6
89,2017.10.05,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,14.9
