,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Target: Max_temp
175,2017.12.26,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,8.0
176,2017.12.27,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,7.3
177,2017.12.28,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,2.4
178,2017.12.29,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,2.0
179,2017.12.30,5.3,0.2,9.5,0.4,7.5,7.0,7.2,0.0,4.4
180,2017.12.31,5.0,3.9,5.3,0.2,9.5,0.4,7.5,7.0,7.0
181,2018.01.01,5.0,0.3,5.0,3.9,5.3,0.2,9.5,0.4,4.8
182,2018.01.02,7.8,8.7,5.0,0.3,5.0,3.9,5.3,0.2,4.1
183,2018.01.03,7.4,6.1,7.8,8.7,5.0,0.3,5.0,3.9,7.7
184,2018.01.04,6.2,0.3,7.4,6.1,7.8,8.7,5.0,0.3,8.6
185,2018.01.05,3.5,1.1,6.2,0.3,7.4,6.1,7.8,8.7,12.5
186,2018.01.06,4.7,0.4,3.5,1.1,6.2,0.3,7.4,6.1,9.6
187,2018.01.07,3.2,0.1,4.7,0.4,3.5,1.1,6.2,0.3,8.3
188,2018.01.08,4.0,0.3,3.2,0.1,4.7,0.4,3.5,1.1,7.4
189,2018.01.09,5.5,0.0,4.0,0.3,3.2,0.1,4.7,0.4,5.4
190,2018.01.10,6.3,1.3,5.5,0.0,4.0,0.3,3.2,0.1,6.2
191,2018.01.11,3.0,3.1,6.3,1.3,5.5,0.0,4.0,0.3,4.6
192,2018.01.12,3.9,4.0,3.0,3.1,6.3,1.3,5.5,0.0,2.4
193,2018.01.13,7.6,2.6,3.9,4.0,3.0,3.1,6.3,1.3,-0.6
194,2018.01.14,5.0,3.6,7.6,2.6,3.9,4.0,3.0,3.1,-2.4
195,2018.01.15,2.9,0.9,5.0,3.6,7.6,2.6,3.9,4.0,1.3
196,2018.01.16,5.4,2.7,2.9,0.9,5.0,3.6,7.6,2.6,3.0
197,2018.01.17,8.4,0.0,5.4,2.7,2.9,0.9,5.0,3.6,3.5
198,2018.01.18,7.3,0.3,8.4,0.0,5.4,2.7,2.9,0.9,4.6
199,2018.01.19,7.1,1.2,7.3,0.3,8.4,0.0,5.4,2.7,3.1
