,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Target: Mean_temp
251,2018.03.11,5.6,3.6,5.2,0.5,3.5,0.0,11.4
252,2018.03.12,7.2,7.3,5.6,3.6,5.2,0.5,9.35
253,2018.03.13,5.9,2.9,7.2,7.3,5.6,3.6,8.1
254,2018.03.14,7.0,0.2,5.9,2.9,7.2,7.3,7.3
255,2018.03.15,4.4,2.5,7.0,0.2,5.9,2.9,8.05
256,2018.03.16,6.0,18.6,4.4,2.5,7.0,0.2,3.1999999999999997
257,2018.03.17,6.5,1.5,6.0,18.6,4.4,2.5,-2.5500000000000003
258,2018.03.18,10.4,13.4,6.5,1.5,6.0,18.6,-2.95
259,2018.03.19,3.6,1.1,10.4,13.4,6.5,1.5,-2.05
260,2018.03.20,5.5,1.6,3.6,1.1,10.4,13.4,-0.3500000000000001
261,2018.03.21,5.4,0.7,5.5,1.6,3.6,1.1,-2.5
262,2018.03.22,2.2,0.0,5.4,0.7,5.5,1.6,0.0
263,2018.03.23,2.1,0.0,2.2,0.0,5.4,0.7,1.4
264,2018.03.24,3.8,0.0,2.1,0.0,2.2,0.0,2.0999999999999996
265,2018.03.25,5.7,0.0,3.8,0.0,2.1,0.0,3.25
266,2018.03.26,2.6,0.0,5.7,0.0,3.8,0.0,5.6000000000000005
267,2018.03.27,4.9,0.0,2.6,0.0,5.7,0.0,4.95
268,2018.03.28,4.1,1.3,4.9,0.0,2.6,0.0,7.15
269,2018.03.29,4.8,1.8,4.1,1.3,4.9,0.0,8.05
270,2018.03.30,4.1,5.4,4.8,1.8,4.1,1.3,10.8
271,2018.03.31,7.1,5.1,4.1,5.4,4.8,1.8,8.4
272,2018.04.01,9.7,0.2,7.1,5.1,4.1,5.4,8.2
273,2018.04.02,9.5,0.1,9.7,0.2,7.1,5.1,10.850000000000001
274,2018.04.03,7.3,0.0,9.5,0.1,9.7,0.2,13.149999999999999
275,2018.04.04,7.0,0.0,7.3,0.0,9.5,0.1,14.2
276,2018.04.05,7.4,0.2,7.0,0.0,7.3,0.0,11.85
277,2018.04.06,7.8,0.0,7.4,0.2,7.0,0.0,11.65
278,2018.04.07,4.0,0.1,7.8,0.0,7.4,0.2,13.5
279,2018.04.08,8.0,0.0,4.0,0.1,7.8,0.0,16.3
280,2018.04.09,6.3,0.6,8.0,0.0,4.0,0.1,14.049999999999999
281,2018.04.10,6.8,0.0,6.3,0.6,8.0,0.0,13.0
282,2018.04.11,5.8,0.0,6.8,0.0,6.3,0.6,16.55
283,2018.04.12,4.8,0.0,5.8,0.0,6.8,0.0,15.95
284,2018.04.13,4.8,0.6,4.8,0.0,5.8,0.0,15.85
285,2018.04.14,3.0,0.0,4.8,0.6,4.8,0.0,18.1
286,2018.04.15,5.2,0.0,3.0,0.0,4.8,0.6,17.05
287,2018.04.16,5.2,2.3,5.2,0.0,3.0,0.0,16.4
288,2018.04.17,4.1,4.8,5.2,2.3,5.2,0.0,17.3
289,2018.04.18,4.3,3.5,4.1,4.8,5.2,2.3,15.75
290,2018.04.19,5.0,0.0,4.3,3.5,4.1,4.8,15.2
291,2018.04.20,3.4,0.0,5.0,0.0,4.3,3.5,14.399999999999999
292,2018.04.21,2.8,0.0,3.4,0.0,5.0,0.0,16.4
293,2018.04.22,2.5,0.0,2.8,0.0,3.4,0.0,19.25
294,2018.04.23,4.0,0.7,2.5,0.0,2.8,0.0,18.55
295,2018.04.24,5.3,2.1,4.0,0.7,2.5,0.0,18.75
296,2018.04.25,5.1,0.1,5.3,2.1,4.0,0.7,18.2
297,2018.04.26,7.0,1.2,5.1,0.1,5.3,2.1,14.649999999999999
298,2018.04.27,5.9,0.0,7.0,1.2,5.1,0.1,17.75
299,2018.04.28,4.6,2.3,5.9,0.0,7.0,1.2,19.75
300,2018.04.29,5.8,9.9,4.6,2.3,5.9,0.0,19.9
301,2018.04.30,5.1,7.7,5.8,9.9,4.6,2.3,18.75
302,2018.05.01,3.8,0.6,5.1,7.7,5.8,9.9,19.8
303,2018.05.02,3.9,8.4,3.8,0.6,5.1,7.7,19.95
304,2018.05.03,4.6,0.0,3.9,8.4,3.8,0.6,20.8
305,2018.05.04,4.4,1.2,4.6,0.0,3.9,8.4,23.1
306,2018.05.05,6.2,0.0,4.4,1.2,4.6,0.0,20.4
307,2018.05.06,6.3,0.0,6.2,0.0,4.4,1.2,18.9
308,2018.05.07,6.0,0.0,6.3,0.0,6.2,0.0,16.85
309,2018.05.08,4.7,0.4,6.0,0.0,6.3,0.0,18.5
310,2018.05.09,2.7,5.2,4.7,0.4,6.0,0.0,20.45
311,2018.05.10,4.3,3.3,2.7,5.2,4.7,0.4,19.549999999999997
312,2018.05.11,2.0,1.7,4.3,3.3,2.7,5.2,19.799999999999997
313,2018.05.12,3.6,0.0,2.0,1.7,4.3,3.3,17.95
314,2018.05.13,5.3,0.1,3.6,0.0,2.0,1.7,16.85
315,2018.05.14,5.7,0.0,5.3,0.1,3.6,0.0,14.8
316,2018.05.15,5.2,8.9,5.7,0.0,5.3,0.1,13.55
317,2018.05.16,6.5,0.8,5.2,8.9,5.7,0.0,15.5
318,2018.05.17,7.6,1.5,6.5,0.8,5.2,8.9,18.25
319,2018.05.18,7.1,1.8,7.6,1.5,6.5,0.8,17.7
320,2018.05.19,3.9,1.4,7.1,1.8,7.6,1.5,16.6
321,2018.05.20,4.9,0.0,3.9,1.4,7.1,1.8,18.2
322,2018.05.21,6.1,0.0,4.9,0.0,3.9,1.4,17.4
323,2018.05.22,4.8,0.6,6.1,0.0,4.9,0.0,19.35
324,2018.05.23,3.2,1.3,4.8,0.6,6.1,0.0,21.15
325,2018.05.24,5.7,0.0,3.2,1.3,4.8,0.6,20.6
326,2018.05.25,4.8,0.0,5.7,0.0,3.2,1.3,21.2
327,2018.05.26,2.0,0.0,4.8,0.0,5.7,0.0,21.1
328,2018.05.27,2.1,4.3,2.0,0.0,4.8,0.0,21.950000000000003
329,2018.05.28,3.3,0.0,2.1,4.3,2.0,0.0,21.0
330,2018.05.29,5.2,0.4,3.3,0.0,2.1,4.3,20.799999999999997
