,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Target: Mean_temp
210,2018.01.30,7.8,0.0,4.8,0.1,3.7,0.1,3.0,0.1,1.25
211,2018.01.31,4.1,0.1,7.8,0.0,4.8,0.1,3.7,0.1,6.050000000000001
212,2018.02.01,7.4,6.9,4.1,0.1,7.8,0.0,4.8,0.1,6.35
213,2018.02.02,4.7,7.5,7.4,6.9,4.1,0.1,7.8,0.0,1.3
214,2018.02.03,7.6,13.5,4.7,7.5,7.4,6.9,4.1,0.1,0.25
215,2018.02.04,6.9,0.0,7.6,13.5,4.7,7.5,7.4,6.9,-1.2500000000000002
216,2018.02.05,1.7,0.1,6.9,0.0,7.6,13.5,4.7,7.5,-0.9
217,2018.02.06,4.2,1.6,1.7,0.1,6.9,0.0,7.6,13.5,-0.5
218,2018.02.07,5.7,3.6,4.2,1.6,1.7,0.1,6.9,0.0,1.45
219,2018.02.08,4.8,7.4,5.7,3.6,4.2,1.6,1.7,0.1,-0.7
220,2018.02.09,3.6,0.4,4.8,7.4,5.7,3.6,4.2,1.6,-0.55
221,2018.02.10,2.1,0.6,3.6,0.4,4.8,7.4,5.7,3.6,-1.4500000000000002
222,2018.02.11,2.0,0.2,2.1,0.6,3.6,0.4,4.8,7.4,-0.10000000000000009
223,2018.02.12,2.0,0.2,2.0,0.2,2.1,0.6,3.6,0.4,0.30000000000000004
224,2018.02.13,5.0,1.1,2.0,0.2,2.0,0.2,2.1,0.6,0.35
225,2018.02.14,4.5,2.8,5.0,1.1,2.0,0.2,2.0,0.2,-1.2499999999999998
226,2018.02.15,2.0,0.1,4.5,2.8,5.0,1.1,2.0,0.2,-2.3
227,2018.02.16,2.1,1.0,2.0,0.1,4.5,2.8,5.0,1.1,-0.30000000000000004
228,2018.02.17,3.6,2.3,2.1,1.0,2.0,0.1,4.5,2.8,-0.5
229,2018.02.18,3.2,5.2,3.6,2.3,2.1,1.0,2.0,0.1,-4.15
230,2018.02.19,3.8,1.6,3.2,5.2,3.6,2.3,2.1,1.0,-0.35000000000000003
231,2018.02.20,4.3,8.6,3.8,1.6,3.2,5.2,3.6,2.3,0.39999999999999997
232,2018.02.21,4.5,3.9,4.3,8.6,3.8,1.6,3.2,5.2,-1.3
233,2018.02.22,6.2,2.3,4.5,3.9,4.3,8.6,3.8,1.6,-0.75
234,2018.02.23,4.4,0.2,6.2,2.3,4.5,3.9,4.3,8.6,-4.7
235,2018.02.24,6.2,1.4,4.4,0.2,6.2,2.3,4.5,3.9,-9.25
236,2018.02.25,5.7,0.0,6.2,1.4,4.4,0.2,6.2,2.3,-8.7
237,2018.02.26,6.9,0.8,5.7,0.0,6.2,1.4,4.4,0.2,-8.45
238,2018.02.27,6.6,1.9,6.9,0.8,5.7,0.0,6.2,1.4,-9.8
239,2018.02.28,3.9,0.2,6.6,1.9,6.9,0.8,5.7,0.0,-10.15
240,2018.03.01,4.3,0.7,3.9,0.2,6.6,1.9,6.9,0.8,-8.1
241,2018.03.02,4.7,2.5,4.3,0.7,3.9,0.2,6.6,1.9,-8.95
