Nap,Tmax  [°C],Tmin  [°C],Wind (m/s),Csapadék 	[mm]
2018.03.30péntek,11.9,4.2,4.1,5.4
2018.03.31szombat,14.2,7.4,7.1,5.1
2018.04.01vasárnap,10.5,6.3,9.7,0.2
2018.04.02hétfő,11.2,5.2,9.5,0.1
2018.04.03kedd,15.3,6.4,7.3,0.0
2018.04.04szerda,17.2,9.1,7.0,0.0
2018.04.05csütörtök,17.7,10.7,7.4,0.2
2018.04.06péntek,14.7,9.0,7.8,0.0
2018.04.07szombat,16.1,7.2,4.0,0.1
2018.04.08vasárnap,18.8,8.2,8.0,0.0
2018.04.09hétfő,21.0,11.6,6.3,0.6
2018.04.10kedd,17.4,10.7,6.8,0.0
2018.04.11szerda,17.1,8.9,5.8,0.0
2018.04.12csütörtök,22.1,11.0,4.8,0.0
2018.04.13péntek,18.5,13.4,4.8,0.6
2018.04.14szombat,21.2,10.5,3.0,0.0
2018.04.15vasárnap,22.9,13.3,5.2,0.0
2018.04.16hétfő,19.0,15.1,5.2,2.3
2018.04.17kedd,19.9,12.9,4.1,4.8
2018.04.18szerda,20.1,14.5,4.3,3.5
2018.04.19csütörtök,20.9,10.6,5.0,0.0
2018.04.20péntek,19.8,10.6,3.4,0.0
2018.04.21szombat,19.9,8.9,2.8,0.0
2018.04.22vasárnap,22.8,10.0,2.5,0.0
2018.04.23hétfő,25.3,13.2,4.0,0.7
2018.04.24kedd,22.6,14.5,5.3,2.1
2018.04.25szerda,24.7,12.8,5.1,0.1
2018.04.26csütörtök,22.5,13.9,7.0,1.2
2018.04.27péntek,18.4,10.9,5.9,0.0
2018.04.28szombat,24.7,10.8,4.6,2.3
2018.04.29vasárnap,23.3,16.2,5.8,9.9
2018.04.30hétfő,23.8,16.0,5.1,7.7
2018.05.01kedd,23.5,14.0,3.8,0.6
2018.05.02szerda,24.6,15.0,3.9,8.4
2018.05.03csütörtök,24.9,15.0,4.6,0.0
2018.05.04péntek,26.6,15.0,4.4,1.2
2018.05.05szombat,27.6,18.6,6.2,0.0
2018.05.06vasárnap,23.5,17.3,6.3,0.0
2018.05.07hétfő,22.6,15.2,6.0,0.0
2018.05.08kedd,20.7,13.0,4.7,0.4
2018.05.09szerda,23.6,13.4,2.7,5.2
2018.05.10csütörtök,24.5,16.4,4.3,3.3
2018.05.11péntek,24.9,14.2,2.0,1.7
2018.05.12szombat,23.2,16.4,3.6,0.0
2018.05.13vasárnap,22.5,13.4,5.3,0.1
2018.05.14hétfő,20.0,13.7,5.7,0.0
2018.05.15kedd,18.2,11.4,5.2,8.9
2018.05.16szerda,17.7,9.4,6.5,0.8
2018.05.17csütörtök,18.2,12.8,7.6,1.5
2018.05.18péntek,22.4,14.1,7.1,1.8
2018.05.19szombat,22.7,12.7,3.9,1.4
2018.05.20vasárnap,21.9,11.3,4.9,0.0
2018.05.21hétfő,22.4,14.0,6.1,0.0
2018.05.22kedd,21.2,13.6,4.8,0.6
2018.05.23szerda,23.0,15.7,3.2,1.3
2018.05.24csütörtök,25.9,16.4,5.7,0.0
2018.05.25péntek,23.1,18.1,4.8,0.0
2018.05.26szombat,26.2,16.2,2.0,0.0
2018.05.27vasárnap,25.0,17.2,2.1,4.3
2018.05.28hétfő,26.6,17.3,3.3,0.0
2018.05.29kedd,23.8,18.2,5.2,0.4
2018.05.30szerda,25.4,16.2,5.4,0.0
2018.05.31csütörtök,27.3,17.0,3.5,0.0
2018.06.01péntek,28.4,18.1,2.5,0.0
2018.06.02szombat,26.9,18.5,4.0,0.0
2018.06.03vasárnap,27.2,20.0,5.8,0.0
2018.06.04hétfő,26.4,17.3,2.9,2.4
2018.06.05kedd,26.4,17.9,2.1,6.5
2018.06.06szerda,21.7,17.3,6.0,18.7
2018.06.07csütörtök,23.4,16.2,5.2,0.9
2018.06.08péntek,24.6,17.6,3.0,26.1
2018.06.09szombat,23.6,17.7,3.1,31.0
2018.06.10vasárnap,27.8,19.1,2.4,0.0
2018.06.11hétfő,28.5,21.5,3.4,0.0
2018.06.12kedd,27.7,19.2,4.5,9.0
2018.06.13szerda,24.9,18.0,4.3,1.7
2018.06.14csütörtök,20.6,17.0,4.5,10.8
2018.06.15péntek,19.8,17.4,5.3,6.2
2018.06.16szombat,24.1,18.2,5.9,0.0
2018.06.17vasárnap,25.1,18.8,4.3,0.0
2018.06.18hétfő,25.4,18.2,5.1,0.3
2018.06.19kedd,26.7,19.3,3.9,2.7
2018.06.20szerda,27.5,20.4,2.5,0.0
2018.06.21csütörtök,27.9,20.1,3.8,0.6
2018.06.22péntek,19.0,13.7,7.6,6.3
2018.06.23szombat,19.1,11.0,5.1,0.0
2018.06.24vasárnap,18.5,10.4,5.4,0.0
2018.06.25hétfő,20.8,10.4,2.7,0.0
2018.06.26kedd,21.9,11.6,3.0,0.3
2018.06.27szerda,22.3,13.3,6.3,1.3
2018.06.28csütörtök,21.9,15.8,6.5,11.9
2018.06.29péntek,25.5,18.2,5.2,8.4
2018.06.30szombat,20.8,14.1,7.7,0.0
2018.07.01vasárnap,19.2,13.3,4.2,0.0
2018.07.02hétfő,21.0,9.6,3.6,0.0
2018.07.03kedd,22.9,11.5,3.0,0.0
2018.07.04szerda,26.2,12.0,2.5,0.0
2018.07.05csütörtök,27.9,14.9,2.9,1.1
2018.07.06péntek,27.8,17.0,3.5,6.3
2018.07.07szombat,24.7,17.3,5.1,10.1
2018.07.08vasárnap,23.6,15.1,4.8,0.0
2018.07.09hétfő,26.3,15.7,3.0,0.3
2018.07.10kedd,25.4,16.1,2.0,0.7
2018.07.11szerda,22.0,16.9,6.0,3.9
2018.07.12csütörtök,23.8,13.6,4.9,3.0
2018.07.13péntek,25.1,15.5,6.2,0.0
2018.07.14szombat,25.1,16.7,5.5,0.0
2018.07.15vasárnap,25.9,15.5,4.7,0.0
2018.07.16hétfő,26.2,15.4,4.7,0.0
2018.07.17kedd,26.7,15.3,5.5,0.0
2018.07.18szerda,22.8,19.0,10.9,1.3
2018.07.19csütörtök,22.5,18.9,9.2,3.7
2018.07.20péntek,25.3,18.3,4.8,3.0
2018.07.21szombat,26.1,17.7,2.5,0.0
2018.07.22vasárnap,25.8,17.8,3.1,21.4
2018.07.23hétfő,24.0,17.9,4.5,20.3
2018.07.24kedd,27.9,17.4,4.7,0.0
2018.07.25szerda,28.1,17.7,3.1,0.0
2018.07.26csütörtök,27.1,17.9,2.1,1.6
2018.07.27péntek,27.2,20.5,3.5,6.3
2018.07.28szombat,28.3,19.3,2.9,2.5
2018.07.29vasárnap,30.1,21.7,3.6,6.5
2018.07.30hétfő,28.4,21.5,3.9,0.9
2018.07.31kedd,30.3,22.6,4.0,1.0
2018.08.01szerda,30.4,22.2,4.4,0.0
2018.08.02csütörtök,30.4,20.7,2.0,6.7
2018.08.03péntek,29.2,20.6,4.6,0.0
2018.08.04szombat,28.4,17.9,2.6,0.0
2018.08.05vasárnap,30.2,17.9,2.7,0.0
2018.08.06hétfő,28.9,18.9,3.3,0.1
2018.08.07kedd,29.1,18.2,3.4,0.0
2018.08.08szerda,31.5,18.1,3.9,0.0
2018.08.09csütörtök,32.4,20.0,4.7,0.0
2018.08.10péntek,33.2,23.0,4.6,1.1
2018.08.11szombat,27.6,18.7,5.1,1.0
2018.08.12vasárnap,30.1,17.5,2.9,0.0
2018.08.13hétfő,32.4,18.0,4.8,0.0
2018.08.14kedd,29.1,20.0,5.7,0.0
2018.08.15szerda,27.2,20.2,5.6,0.0
2018.08.16csütörtök,27.9,15.0,2.8,0.0
2018.08.17péntek,29.3,17.5,3.4,0.0
2018.08.18szombat,29.7,19.3,2.0,0.2
2018.08.19vasárnap,31.3,18.7,4.0,0.0
2018.08.20hétfő,32.1,20.1,3.2,0.1
2018.08.21kedd,32.3,21.0,2.5,0.0
2018.08.22szerda,32.4,21.6,4.0,0.0
2018.08.23csütörtök,31.2,21.6,3.9,0.9
2018.08.24péntek,30.3,18.4,3.7,2.6
2018.08.25szombat,24.0,18.3,6.8,0.2
2018.08.26vasárnap,16.6,14.2,6.2,16.8
2018.08.27hétfő,21.2,8.9,2.5,0.0
2018.08.28kedd,25.6,9.6,3.9,0.0
2018.08.29szerda,26.4,12.1,3.5,0.0
2018.08.30csütörtök,27.5,13.1,2.5,0.0
2018.08.31péntek,27.4,17.2,3.4,0.9
2018.09.01szombat,28.9,16.4,3.5,1.8
2018.09.02vasárnap,27.4,17.6,4.4,2.7
2018.09.03hétfő,22.2,17.3,5.2,3.7
2018.09.04kedd,18.4,16.4,2.4,20.5
2018.09.05szerda,24.3,15.8,3.5,0.1
2018.09.06csütörtök,22.3,14.6,2.1,0.2
2018.09.07péntek,23.7,11.3,2.1,0.0
2018.09.08szombat,24.4,14.9,4.2,0.0
2018.09.09vasárnap,23.7,12.6,2.5,0.0
2018.09.10hétfő,23.8,11.9,2.7,0.0
2018.09.11kedd,25.1,12.5,4.9,0.0
2018.09.12szerda,26.7,13.0,2.1,0.0
2018.09.13csütörtök,28.2,13.1,2.0,0.0
2018.09.14péntek,26.0,16.2,2.1,0.0
2018.09.15szombat,25.9,17.9,6.1,0.0
2018.09.16vasárnap,22.0,13.5,3.4,0.0
2018.09.17hétfő,26.8,11.5,3.0,0.0
2018.09.18kedd,25.4,10.9,2.3,0.0
2018.09.19szerda,27.3,11.3,3.0,0.0
2018.09.20csütörtök,28.0,12.0,2.1,0.0
2018.09.21péntek,28.5,13.6,3.9,0.0
2018.09.22szombat,17.5,12.2,9.5,0.3
2018.09.23vasárnap,18.3,9.5,5.4,0.0
2018.09.24hétfő,18.9,10.6,10.1,3.1
2018.09.25kedd,14.4,7.6,6.8,0.0
2018.09.26szerda,14.1,3.9,4.0,0.0
2018.09.27csütörtök,18.5,2.8,3.8,0.0
2018.09.28péntek,18.1,4.6,3.1,0.0
2018.09.29szombat,15.1,7.0,4.7,0.7
2018.09.30vasárnap,15.7,4.0,4.4,0.0
2018.10.01hétfő,18.0,6.4,4.4,0.2
2018.10.02kedd,14.3,6.8,6.3,0.8
2018.10.03szerda,16.8,3.5,7.4,0.1
2018.10.04csütörtök,15.7,5.7,4.3,0.0
2018.10.05péntek,17.1,2.9,3.7,0.0
2018.10.06szombat,20.3,4.0,5.1,0.0
2018.10.07vasárnap,20.3,12.7,4.4,0.0
2018.10.08hétfő,19.6,11.9,2.6,0.4
2018.10.09kedd,22.7,10.0,3.1,0.0
2018.10.10szerda,23.1,9.2,2.7,0.0
2018.10.11csütörtök,22.3,9.0,3.3,0.0
2018.10.12péntek,21.0,8.6,2.9,0.0
2018.10.13szombat,21.4,8.2,2.4,0.0
2018.10.14vasárnap,19.5,8.3,4.3,0.0
2018.10.15hétfő,19.4,7.5,4.8,0.0
2018.10.16kedd,18.8,8.5,4.9,0.0
2018.10.17szerda,21.2,8.8,3.2,0.0
2018.10.18csütörtök,21.1,9.4,2.0,0.0
2018.10.19péntek,21.0,8.9,2.3,0.0
2018.10.20szombat,19.6,7.2,5.2,0.0
2018.10.21vasárnap,10.8,8.3,5.3,4.6
2018.10.22hétfő,15.0,7.7,3.5,0.3
2018.10.23kedd,12.7,8.2,8.6,0.0
2018.10.24szerda,12.8,6.8,12.6,1.4
2018.10.25csütörtök,14.3,6.0,7.8,0.7
2018.10.26péntek,14.1,7.1,5.1,0.0
2018.10.27szombat,13.9,10.6,5.3,4.1
2018.10.28vasárnap,20.7,11.4,7.3,6.9
2018.10.29hétfő,20.4,16.0,7.7,20.5
2018.10.30kedd,18.1,10.8,7.7,4.7
2018.10.31szerda,18.4,9.9,4.6,0.0
2018.11.01csütörtök,20.8,8.8,4.7,0.0
2018.11.02péntek,21.2,13.0,4.3,0.2
2018.11.03szombat,19.6,11.3,2.7,0.0
2018.11.04vasárnap,17.3,7.9,2.6,0.0
2018.11.05hétfő,17.2,6.6,4.2,0.0
2018.11.06kedd,15.8,7.3,4.9,0.0
2018.11.07szerda,15.6,6.6,4.8,0.0
2018.11.08csütörtök,14.3,5.4,3.1,0.0
2018.11.09péntek,12.7,3.0,3.6,0.0
2018.11.10szombat,10.9,3.2,4.3,0.1
2018.11.11vasárnap,15.0,4.8,4.0,0.2
2018.11.12hétfő,14.7,4.3,3.6,0.0
2018.11.13kedd,13.8,5.8,3.8,0.1
2018.11.14szerda,12.0,3.5,6.9,0.0
2018.11.15csütörtök,10.7,0.6,2.5,0.0
2018.11.16péntek,8.3,0.9,5.3,0.0
2018.11.17szombat,5.9,-1.5,5.5,0.0
2018.11.18vasárnap,6.4,-3.6,2.5,0.0
2018.11.19hétfő,1.9,-0.5,4.1,1.2
2018.11.20kedd,4.5,0.3,8.7,4.0
2018.11.21szerda,4.3,3.4,5.4,4.6
2018.11.22csütörtök,4.9,2.4,2.9,0.7
2018.11.23péntek,4.8,2.7,3.7,0.6
2018.11.24szombat,6.4,1.5,4.4,2.8
2018.11.25vasárnap,6.9,4.7,4.9,14.8
2018.11.26hétfő,9.4,5.3,6.7,14.3
2018.11.27kedd,4.6,0.9,5.6,8.8
