Nap,Tmax  [°C],Tmin  [°C],Wind (m/s),Csapadék 	[mm]
2020.04.28kedd,22.2,12.1,5.3,2.5
2020.04.29szerda,18.4,14.2,5.6,3.1
2020.04.30csütörtök,21.0,12.1,6.3,0.5
2020.05.01péntek,19.1,14.1,4.8,1.1
2020.05.02szombat,19.4,12.3,6.0,0.0
2020.05.03vasárnap,17.8,10.9,7.9,0.0
2020.05.04hétfő,19.5,10.0,4.1,0.1
2020.05.05kedd,17.5,12.0,7.4,4.8
2020.05.06szerda,15.6,8.0,8.5,0.0
2020.05.07csütörtök,16.3,9.4,8.0,0.0
2020.05.08péntek,21.8,9.7,2.6,0.0
2020.05.09szombat,23.1,14.1,3.4,0.0
2020.05.10vasárnap,24.0,15.8,4.2,0.0
2020.05.11hétfő,24.6,15.8,8.3,0.0
2020.05.12kedd,15.5,8.4,7.9,0.0
2020.05.13szerda,11.2,7.3,3.5,1.0
2020.05.14csütörtök,22.4,11.3,4.7,0.6
2020.05.15péntek,19.4,11.1,7.6,4.1
2020.05.16szombat,19.9,9.1,3.1,0.0
2020.05.17vasárnap,20.9,12.8,3.5,6.3
2020.05.18hétfő,24.3,13.7,2.4,0.0
2020.05.19kedd,25.1,16.7,4.0,0.1
2020.05.20szerda,19.7,15.7,3.7,9.7
2020.05.21csütörtök,20.0,13.2,4.9,0.0
2020.05.22péntek,19.1,11.0,4.1,0.0
2020.05.23szombat,16.8,13.0,3.1,1.5
2020.05.24vasárnap,19.9,12.0,9.9,2.7
2020.05.25hétfő,17.9,12.0,7.1,0.2
2020.05.26kedd,20.4,10.5,4.8,2.0
2020.05.27szerda,21.8,12.1,3.9,1.2
2020.05.28csütörtök,20.9,13.1,6.1,0.3
2020.05.29péntek,20.4,12.5,4.8,1.2
2020.05.30szombat,19.7,12.5,3.9,5.1
2020.05.31vasárnap,13.4,10.7,8.3,0.0
2020.06.01hétfő,22.4,12.1,4.3,1.5
2020.06.02kedd,19.9,13.5,4.8,0.2
2020.06.03szerda,21.8,11.7,3.9,1.3
2020.06.04csütörtök,24.5,14.6,7.9,1.3
2020.06.05péntek,23.3,16.6,7.6,9.1
2020.06.06szombat,25.9,14.8,3.4,1.9
2020.06.07vasárnap,27.0,19.3,4.5,12.1
2020.06.08hétfő,23.6,15.4,4.2,3.1
2020.06.09kedd,26.1,15.9,2.1,1.6
2020.06.10szerda,25.1,18.7,3.3,8.2
2020.06.11csütörtök,25.3,18.4,3.0,2.4
2020.06.12péntek,26.5,16.5,2.2,0.4
2020.06.13szombat,30.2,19.1,2.3,1.2
2020.06.14vasárnap,28.3,22.2,3.2,17.6
2020.06.15hétfő,23.6,18.1,3.3,19.0
2020.06.16kedd,21.3,18.0,4.1,19.3
2020.06.17szerda,23.1,18.9,3.8,9.9
2020.06.18csütörtök,22.5,18.6,5.5,10.2
2020.06.19péntek,24.0,16.8,7.9,0.0
2020.06.20szombat,20.3,16.6,7.6,0.0
2020.06.21vasárnap,21.2,15.1,6.8,2.8
2020.06.22hétfő,22.8,17.1,5.8,0.8
2020.06.23kedd,26.2,18.8,4.4,0.0
2020.06.24szerda,25.1,15.8,3.7,0.0
2020.06.25csütörtök,27.5,18.2,3.3,0.0
2020.06.26péntek,29.7,20.3,6.2,3.6
2020.06.27szombat,30.4,20.7,4.4,2.3
2020.06.28vasárnap,33.0,22.9,3.5,0.0
2020.06.29hétfő,32.0,19.1,9.6,2.3
2020.06.30kedd,27.6,18.0,4.8,0.0
2020.07.01szerda,30.5,20.7,4.1,0.0
2020.07.02csütörtök,31.8,23.1,3.1,3.9
2020.07.03péntek,25.2,21.4,7.0,6.4
2020.07.04szombat,28.1,20.4,3.5,1.2
2020.07.05vasárnap,29.3,19.3,4.1,0.0
2020.07.06hétfő,29.8,21.9,7.6,0.0
2020.07.07kedd,23.1,15.8,9.1,1.3
2020.07.08szerda,26.5,16.2,3.5,0.0
2020.07.09csütörtök,26.7,19.4,3.7,0.0
2020.07.10péntek,31.8,20.7,4.8,0.0
2020.07.11szombat,31.2,18.1,6.3,3.5
2020.07.12vasárnap,22.6,16.2,5.2,4.0
2020.07.13hétfő,23.8,17.1,3.2,0.3
2020.07.14kedd,24.6,17.4,2.2,0.0
2020.07.15szerda,26.0,18.1,3.4,0.0
2020.07.16csütörtök,24.6,18.6,5.0,0.0
2020.07.17péntek,23.1,16.4,4.7,0.8
2020.07.18szombat,21.2,17.1,2.6,2.1
2020.07.19vasárnap,27.4,16.4,2.2,3.2
2020.07.20hétfő,28.9,18.4,4.1,0.0
2020.07.21kedd,30.2,21.0,3.8,0.4
2020.07.22szerda,28.2,20.9,3.9,2.8
2020.07.23csütörtök,29.5,22.6,3.8,0.0
2020.07.24péntek,29.8,21.2,4.8,7.3
2020.07.25szombat,27.3,20.2,4.1,5.7
2020.07.26vasárnap,29.2,19.4,4.1,0.0
2020.07.27hétfő,29.7,20.9,4.2,0.0
2020.07.28kedd,32.9,22.6,4.4,0.0
2020.07.29szerda,30.5,23.8,5.0,0.0
2020.07.30csütörtök,32.8,24.0,3.2,0.0
2020.07.31péntek,31.4,24.6,4.6,0.0
2020.08.01szombat,28.8,21.2,3.9,0.0
2020.08.02vasárnap,29.8,20.5,4.3,0.0
2020.08.03hétfő,31.5,21.7,5.2,0.5
2020.08.04kedd,29.6,20.6,5.4,4.3
2020.08.05szerda,25.0,20.6,3.1,3.4
2020.08.06csütörtök,29.7,20.5,4.7,1.3
2020.08.07péntek,31.5,22.7,5.8,0.0
2020.08.08szombat,32.9,24.2,3.8,0.0
2020.08.09vasárnap,33.0,24.8,3.1,0.0
2020.08.10hétfő,33.0,25.3,2.8,1.5
2020.08.11kedd,33.1,23.5,3.8,1.4
2020.08.12szerda,32.1,24.1,4.0,0.0
2020.08.13csütörtök,31.3,22.6,3.2,0.0
2020.08.14péntek,31.0,24.6,3.3,0.0
2020.08.15szombat,28.9,23.0,2.6,1.1
2020.08.16vasárnap,26.0,20.5,3.4,25.9
2020.08.17hétfő,30.9,21.8,3.9,4.4
2020.08.18kedd,27.4,22.1,4.3,6.6
2020.08.19szerda,27.8,21.2,4.5,1.1
2020.08.20csütörtök,30.1,20.0,3.6,0.0
2020.08.21péntek,31.6,22.3,2.7,0.0
2020.08.22szombat,32.9,23.2,2.1,0.0
2020.08.23vasárnap,28.7,21.6,4.9,3.7
2020.08.24hétfő,28.9,22.0,4.0,0.0
2020.08.25kedd,26.7,21.0,4.6,0.0
2020.08.26szerda,30.3,20.4,5.6,0.0
2020.08.27csütörtök,26.1,19.5,7.7,0.0
2020.08.28péntek,29.1,19.0,4.8,0.0
2020.08.29szombat,32.7,22.1,6.7,0.0
2020.08.30vasárnap,34.3,23.4,7.6,0.0
2020.08.31hétfő,26.2,19.1,7.0,0.2
2020.09.01kedd,19.7,15.7,5.5,16.7
2020.09.02szerda,24.0,13.9,5.3,0.0
2020.09.03csütörtök,25.1,17.1,4.1,0.0
2020.09.04péntek,25.9,16.7,3.0,0.0
2020.09.05szombat,28.9,19.7,2.4,0.0
2020.09.06vasárnap,30.1,21.0,2.3,0.0
2020.09.07hétfő,26.5,20.4,4.9,0.2
2020.09.08kedd,25.9,17.5,2.8,0.0
2020.09.09szerda,28.0,18.5,2.1,0.0
2020.09.10csütörtök,27.7,19.6,3.0,0.0
2020.09.11péntek,27.5,19.6,2.8,0.0
2020.09.12szombat,29.6,20.5,3.0,0.0
2020.09.13vasárnap,30.2,22.3,2.7,0.0
2020.09.14hétfő,30.5,22.4,3.9,0.0
2020.09.15kedd,30.7,22.8,3.9,0.0
2020.09.16szerda,30.5,23.0,2.7,0.0
2020.09.17csütörtök,30.5,19.9,3.9,0.8
2020.09.18péntek,23.5,17.2,3.6,0.0
2020.09.19szombat,23.1,16.5,2.6,0.0
2020.09.20vasárnap,25.7,16.3,4.0,0.0
2020.09.21hétfő,26.8,17.8,4.1,0.0
2020.09.22kedd,28.1,18.5,4.7,0.0
2020.09.23szerda,26.4,19.4,2.5,1.8
2020.09.24csütörtök,24.9,18.9,2.0,1.0
2020.09.25péntek,21.6,18.5,5.6,9.2
2020.09.26szombat,18.3,11.8,7.6,10.4
2020.09.27vasárnap,16.9,9.5,6.0,0.0
2020.09.28hétfő,19.6,13.3,6.0,8.5
2020.09.29kedd,17.0,13.4,6.0,0.2
2020.09.30szerda,16.0,11.9,6.9,0.2
2020.10.01csütörtök,15.8,13.9,5.2,6.0
2020.10.02péntek,21.6,12.5,4.3,0.2
2020.10.03szombat,27.0,16.1,6.9,0.0
2020.10.04vasárnap,22.4,17.6,6.4,6.0
2020.10.05hétfő,22.8,16.2,5.7,0.0
2020.10.06kedd,21.9,14.8,4.3,0.0
2020.10.07szerda,15.9,14.5,6.8,2.5
2020.10.08csütörtök,18.1,11.3,6.6,0.0
2020.10.09péntek,18.8,12.1,2.5,0.0
2020.10.10szombat,20.6,15.1,2.3,0.0
2020.10.11vasárnap,14.7,12.5,3.7,1.5
2020.10.12hétfő,13.5,9.6,4.9,30.1
2020.10.13kedd,10.1,8.0,7.9,32.5
2020.10.14szerda,13.1,7.5,8.9,8.8
2020.10.15csütörtök,12.6,10.3,4.2,10.4
2020.10.16péntek,12.8,9.3,3.8,0.9
2020.10.17szombat,10.6,8.6,5.5,0.0
2020.10.18vasárnap,12.3,7.9,6.0,0.0
2020.10.19hétfő,14.1,8.0,2.8,0.0
2020.10.20kedd,14.8,9.6,4.0,0.0
2020.10.21szerda,16.6,8.9,4.2,0.0
2020.10.22csütörtök,15.7,10.3,3.2,0.0
2020.10.23péntek,16.4,10.8,1.8,0.0
2020.10.24szombat,17.9,12.1,5.6,0.0
2020.10.25vasárnap,13.3,12.9,2.3,4.5
2020.10.26hétfő,19.0,11.7,6.6,0.0
2020.10.27kedd,18.1,12.1,3.0,0.0
2020.10.28szerda,17.6,11.7,2.1,0.0
2020.10.29csütörtök,16.4,11.7,5.7,0.4
2020.10.30péntek,12.6,8.8,5.5,2.0
2020.10.31szombat,17.0,12.6,6.9,0.9
2020.11.01vasárnap,13.4,9.1,2.3,0.6
2020.11.02hétfő,13.6,11.7,1.8,1.5
2020.11.03kedd,17.5,13.2,1.5,0.0
2020.11.04szerda,13.8,13.1,0.9,3.7
2020.11.05csütörtök,12.5,9.8,3.7,8.7
2020.11.06péntek,12.7,8.1,1.6,0.0
2020.11.07szombat,13.1,8.2,1.5,0.0
2020.11.08vasárnap,12.8,7.8,1.4,0.0
2020.11.09hétfő,13.0,7.9,0.8,0.0
2020.11.10kedd,12.8,7.9,1.3,0.0
2020.11.11szerda,11.1,7.0,1.3,0.0
2020.11.12csütörtök,9.4,7.9,3.0,0.0
2020.11.13péntek,11.3,6.7,1.1,0.0
2020.11.14szombat,11.0,6.6,1.7,0.0
2020.11.15vasárnap,11.1,6.3,2.7,0.0
2020.11.16hétfő,9.1,7.6,3.3,0.3
2020.11.17kedd,11.5,6.7,2.0,0.0
2020.11.18szerda,11.4,7.0,1.6,0.0
2020.11.19csütörtök,10.7,5.8,2.5,1.1
2020.11.20péntek,8.8,3.9,5.9,0.0
2020.11.21szombat,6.6,1.9,3.1,0.0
2020.11.22vasárnap,5.7,1.6,2.3,0.0
2020.11.23hétfő,6.3,3.1,2.2,0.0
2020.11.24kedd,6.6,2.0,2.2,0.0
2020.11.25szerda,5.9,1.2,2.1,0.0
2020.11.26csütörtök,5.8,1.2,1.3,0.0
2020.11.27péntek,5.5,1.8,0.7,0.0
2020.11.28szombat,3.4,1.2,1.8,0.0
2020.11.29vasárnap,3.1,1.2,1.4,0.0
2020.11.30hétfő,2.8,0.0,1.5,0.0
2020.12.01kedd,2.1,-0.6,2.9,0.0
2020.12.02szerda,2.6,-0.4,2.8,0.0
2020.12.03csütörtök,2.8,0.0,5.7,1.3
2020.12.04péntek,7.2,2.4,4.8,0.0
2020.12.05szombat,10.2,4.5,3.6,0.0
2020.12.06vasárnap,12.2,6.4,6.6,0.0
2020.12.07hétfő,8.9,6.6,6.8,10.6
2020.12.08kedd,7.7,4.1,5.6,0.0
2020.12.09szerda,6.1,2.9,5.2,3.7
2020.12.10csütörtök,6.2,4.6,4.2,7.8
2020.12.11péntek,6.5,3.3,2.1,0.0
2020.12.12szombat,5.5,2.4,3.0,0.0
2020.12.13vasárnap,6.3,2.8,3.1,0.0
2020.12.14hétfő,5.8,1.7,2.2,0.0
2020.12.15kedd,5.1,1.3,2.5,0.0
2020.12.16szerda,4.1,1.5,1.4,0.0
2020.12.17csütörtök,5.0,1.4,1.3,0.0
2020.12.18péntek,5.5,4.4,1.0,0.0
2020.12.19szombat,5.0,2.5,2.1,0.0
2020.12.20vasárnap,4.6,1.9,2.2,0.0
2020.12.21hétfő,4.4,2.1,2.2,0.0
2020.12.22kedd,4.7,2.9,2.1,2.6
2020.12.23szerda,8.9,5.7,2.4,0.7
2020.12.24csütörtök,9.7,7.1,6.0,1.1
2020.12.25péntek,6.8,3.4,6.1,0.0
2020.12.26szombat,4.0,1.0,4.1,0.0
2020.12.27vasárnap,3.6,-0.1,4.3,0.1
2020.12.28hétfő,8.8,3.4,9.2,4.4
2020.12.29kedd,9.6,5.6,9.7,1.6
2020.12.30szerda,6.9,5.7,4.0,3.3
2020.12.31csütörtök,6.3,4.2,2.6,0.0
2021.01.01péntek,4.4,2.2,2.5,0.0
2021.01.02szombat,5.9,3.2,3.8,0.0
2021.01.03vasárnap,5.6,3.6,4.6,0.9
2021.01.04hétfő,6.2,4.4,2.8,0.2
2021.01.05kedd,7.5,3.9,4.2,0.0
2021.01.06szerda,5.1,2.7,3.6,2.1
2021.01.07csütörtök,4.6,1.6,5.3,1.5
2021.01.08péntek,3.6,0.6,2.4,1.0
2021.01.09szombat,2.6,-0.2,2.8,0.0
2021.01.10vasárnap,1.8,-0.1,2.7,0.0
2021.01.11hétfő,2.4,-0.5,2.8,0.0
2021.01.12kedd,1.7,-1.6,2.6,0.0
2021.01.13szerda,1.9,-0.4,6.4,1.2
2021.01.14csütörtök,0.4,-1.4,7.4,1.7
2021.01.15péntek,0.0,-1.9,5.1,0.0
2021.01.16szombat,-0.8,-3.7,5.9,0.0
2021.01.17vasárnap,-1.5,-4.3,5.2,0.0
2021.01.18hétfő,-2.7,-5.9,2.6,0.0
2021.01.19kedd,2.5,-2.4,3.4,0.0
2021.01.20szerda,6.2,0.6,4.7,0.4
2021.01.21csütörtök,9.6,3.0,5.3,0.0
2021.01.22péntek,9.7,5.1,6.3,0.5
2021.01.23szombat,10.4,5.3,5.6,7.0
2021.01.24vasárnap,5.7,2.9,7.1,1.3
2021.01.25hétfő,3.2,0.8,7.8,2.1
2021.01.26kedd,3.1,0.0,6.0,0.0
2021.01.27szerda,3.0,0.0,6.0,0.0
2021.01.28csütörtök,2.3,-0.5,3.8,0.0
2021.01.29péntek,5.7,1.7,4.0,2.5
2021.01.30szombat,9.6,3.8,6.7,0.0
2021.01.31vasárnap,2.8,-0.3,5.1,0.9
2021.02.01hétfő,4.6,0.2,2.4,0.0
2021.02.02kedd,6.2,1.4,2.1,0.0
2021.02.03szerda,10.0,2.3,4.6,0.5
2021.02.04csütörtök,11.6,6.4,8.3,0.1
2021.02.05péntek,6.2,4.9,2.7,1.8
2021.02.06szombat,7.1,5.0,4.0,0.5
2021.02.07vasárnap,9.0,3.0,4.1,4.5
2021.02.08hétfő,6.6,1.1,6.1,3.5
2021.02.09kedd,3.4,1.0,3.1,13.4
2021.02.10szerda,6.6,2.3,2.6,10.7
2021.02.11csütörtök,3.0,-7.1,11.3,0.8
2021.02.12péntek,-3.4,-7.1,6.3,0.0
2021.02.13szombat,-2.6,-7.1,3.6,0.0
2021.02.14vasárnap,0.9,-3.9,3.4,0.0
2021.02.15hétfő,0.6,-4.1,4.4,0.0
2021.02.16kedd,1.4,-1.9,2.1,0.0
2021.02.17szerda,3.2,-0.1,5.1,0.2
2021.02.18csütörtök,7.1,1.1,4.4,0.0
2021.02.19péntek,3.5,1.1,2.6,0.0
2021.02.20szombat,6.4,2.8,2.3,0.0
2021.02.21vasárnap,8.1,2.7,3.8,0.0
2021.02.22hétfő,10.8,1.5,3.0,0.0
2021.02.23kedd,10.7,3.7,2.1,0.0
2021.02.24szerda,13.7,5.5,1.0,0.0
2021.02.25csütörtök,15.0,6.5,1.6,0.0
2021.02.26péntek,15.3,7.3,1.8,0.0
2021.02.27szombat,10.3,5.5,7.8,0.0
2021.02.28vasárnap,8.6,3.0,2.4,0.0
2021.03.01hétfő,10.7,3.6,2.2,0.0
2021.03.02kedd,11.6,4.1,2.6,0.0
2021.03.03szerda,13.5,5.3,2.3,0.0
2021.03.04csütörtök,14.4,6.0,2.5,0.0
2021.03.05péntek,10.0,3.8,5.1,0.2
2021.03.06szombat,6.3,1.4,3.0,0.4
2021.03.07vasárnap,7.8,1.4,3.7,0.0
2021.03.08hétfő,8.0,2.2,5.4,0.0
2021.03.09kedd,6.2,1.1,3.7,0.0
2021.03.10szerda,7.3,2.0,3.1,0.0
2021.03.11csütörtök,8.9,1.7,5.7,0.0
2021.03.12péntek,10.9,6.7,6.0,1.3
2021.03.13szombat,13.1,5.6,5.3,0.0
2021.03.14vasárnap,10.6,7.4,5.8,0.9
2021.03.15hétfő,9.6,3.9,6.0,0.0
2021.03.16kedd,9.4,3.8,6.6,0.0
2021.03.17szerda,10.0,2.4,5.7,0.0
2021.03.18csütörtök,8.4,2.2,3.4,0.0
2021.03.19péntek,7.5,1.1,2.9,2.7
2021.03.20szombat,6.5,2.7,3.5,0.0
2021.03.21vasárnap,5.8,0.2,4.2,0.0
2021.03.22hétfő,6.8,2.2,5.2,0.1
2021.03.23kedd,10.5,1.9,4.3,0.0
2021.03.24szerda,8.1,2.8,3.7,0.5
2021.03.25csütörtök,11.1,3.5,2.1,0.0
2021.03.26péntek,14.5,5.4,2.6,0.0
2021.03.27szombat,16.1,7.7,7.6,0.0
2021.03.28vasárnap,11.8,6.0,5.4,0.0
2021.03.29hétfő,15.1,7.2,4.1,0.0
2021.03.30kedd,13.9,10.4,1.6,0.0
2021.03.31szerda,18.6,10.1,2.2,0.0
2021.04.01csütörtök,20.2,12.0,3.6,9.2
2021.04.02péntek,15.1,10.4,7.5,0.4
2021.04.03szombat,11.9,5.0,7.4,4.5
2021.04.04vasárnap,11.7,4.6,3.3,0.2
2021.04.05hétfő,14.1,5.0,6.4,0.0
2021.04.06kedd,6.9,1.1,7.0,3.3
2021.04.07szerda,7.2,1.0,7.6,0.3
2021.04.08csütörtök,7.6,0.8,7.2,1.4
2021.04.09péntek,13.5,2.6,5.8,0.0
2021.04.10szombat,15.7,6.1,6.2,0.0
2021.04.11vasárnap,16.6,7.9,5.5,0.0
2021.04.12hétfő,19.3,9.9,5.8,0.6
2021.04.13kedd,6.1,3.7,4.5,20.8
2021.04.14szerda,6.3,2.9,4.0,6.9
2021.04.15csütörtök,9.5,2.8,6.4,0.0
2021.04.16péntek,8.0,2.0,4.5,0.0
2021.04.17szombat,12.6,3.3,3.1,0.0
2021.04.18vasárnap,10.5,7.5,2.4,2.9
2021.04.19hétfő,11.4,6.7,2.8,4.9
2021.04.20kedd,13.7,5.4,3.0,0.0
2021.04.21szerda,17.5,7.2,4.6,0.1
2021.04.22csütörtök,17.1,8.5,7.1,2.6
2021.04.23péntek,13.9,6.5,5.7,0.0
2021.04.24szombat,15.7,6.2,3.4,0.0
2021.04.25vasárnap,15.3,9.1,5.5,0.5
2021.04.26hétfő,14.1,6.8,3.1,0.0
2021.04.27kedd,12.6,6.3,5.0,0.2
2021.04.28szerda,13.9,6.7,3.5,0.0
2021.04.29csütörtök,18.7,10.5,4.2,2.2
2021.04.30péntek,18.9,11.1,3.4,0.3
2021.05.01szombat,23.0,11.9,5.1,1.5
2021.05.02vasárnap,18.6,8.8,7.5,13.3
2021.05.03hétfő,15.0,8.2,5.1,0.0
2021.05.04kedd,18.6,8.3,5.5,0.0
2021.05.05szerda,19.3,10.0,6.9,0.3
2021.05.06csütörtök,14.6,7.5,3.5,0.2
2021.05.07péntek,14.4,9.6,4.0,9.4
2021.05.08szombat,15.3,5.5,3.9,0.0
2021.05.09vasárnap,19.3,8.2,5.3,0.0
2021.05.10hétfő,24.3,10.9,5.9,0.0
2021.05.11kedd,25.0,13.3,5.4,0.0
2021.05.12szerda,22.8,14.7,4.5,0.2
2021.05.13csütörtök,14.2,12.1,5.3,0.1
2021.05.14péntek,17.6,10.6,5.7,0.6
2021.05.15szombat,19.3,10.1,2.7,1.9
2021.05.16vasárnap,17.5,13.0,5.4,1.6
2021.05.17hétfő,13.8,10.7,6.8,13.2
2021.05.18kedd,17.9,9.7,7.3,0.0
2021.05.19szerda,13.8,10.2,3.8,3.7
2021.05.20csütörtök,12.0,10.0,7.2,20.9
2021.05.21péntek,20.2,9.5,4.9,0.0
2021.05.22szombat,15.0,11.6,5.0,0.5
2021.05.23vasárnap,12.5,10.8,2.7,5.7
2021.05.24hétfő,19.7,9.0,5.7,0.7
2021.05.25kedd,15.6,11.6,6.8,1.5
2021.05.26szerda,20.6,7.8,2.5,0.0
2021.05.27csütörtök,19.9,11.4,4.8,0.0
2021.05.28péntek,19.5,11.4,6.9,0.0
2021.05.29szombat,19.5,11.6,6.2,0.0
2021.05.30vasárnap,17.8,9.9,4.5,4.0
2021.05.31hétfő,18.4,11.3,3.6,3.4
2021.06.01kedd,18.2,9.3,4.2,0.1
2021.06.02szerda,22.6,11.4,1.8,0.0
2021.06.03csütörtök,23.4,14.5,3.1,0.0
2021.06.04péntek,24.7,16.1,1.9,0.0
2021.06.05szombat,26.1,16.8,3.9,0.0
2021.06.06vasárnap,24.2,15.1,2.5,2.5
2021.06.07hétfő,25.5,16.7,3.1,0.3
2021.06.08kedd,26.0,18.9,2.4,0.3
2021.06.09szerda,26.6,18.1,2.9,1.0
2021.06.10csütörtök,25.6,17.2,1.7,2.8
2021.06.11péntek,24.5,15.7,2.8,0.0
2021.06.12szombat,27.0,16.4,4.2,0.0
2021.06.13vasárnap,21.9,14.9,8.1,0.0
2021.06.14hétfő,21.6,11.1,3.2,0.0
2021.06.15kedd,25.2,14.4,3.5,0.0
2021.06.16szerda,28.0,17.5,3.4,0.0
2021.06.17csütörtök,29.5,19.5,3.6,0.0
2021.06.18péntek,30.4,19.7,3.4,0.0
2021.06.19szombat,32.2,21.5,3.3,1.7
2021.06.20vasárnap,31.3,20.3,2.0,2.0
2021.06.21hétfő,33.3,21.7,4.9,0.3
2021.06.22kedd,33.1,21.5,4.0,0.7
2021.06.23szerda,34.8,23.8,3.8,0.0
2021.06.24csütörtök,35.5,24.2,4.0,0.0
2021.06.25péntek,29.7,20.0,4.8,0.6
2021.06.26szombat,29.7,19.1,3.8,0.0
2021.06.27vasárnap,30.0,20.3,2.6,0.0
2021.06.28hétfő,32.9,21.2,5.0,0.1
2021.06.29kedd,34.3,20.3,4.8,0.0
2021.06.30szerda,30.1,20.3,4.8,0.0
2021.07.01csütörtök,27.1,17.2,6.3,1.4
2021.07.02péntek,24.7,15.9,6.2,0.0
2021.07.03szombat,27.2,14.8,4.7,0.0
2021.07.04vasárnap,29.2,18.1,3.6,0.0
2021.07.05hétfő,28.1,18.9,4.8,0.0
2021.07.06kedd,32.6,19.8,2.5,0.0
2021.07.07szerda,36.1,22.6,4.4,0.0
2021.07.08csütörtök,38.6,24.5,5.0,0.4
2021.07.09péntek,36.3,20.2,6.5,8.8
2021.07.10szombat,31.1,17.0,3.1,0.0
2021.07.11vasárnap,32.6,20.5,4.3,4.9
2021.07.12hétfő,32.6,18.6,2.7,1.9
2021.07.13kedd,38.2,21.7,4.4,0.0
2021.07.14szerda,35.7,23.0,5.1,1.9
2021.07.15csütörtök,31.8,21.5,3.7,0.0
2021.07.16péntek,34.1,21.2,5.5,12.2
2021.07.17szombat,30.5,20.6,3.5,5.1
2021.07.18vasárnap,32.6,19.4,5.1,6.9
2021.07.19hétfő,25.7,19.7,3.5,9.6
2021.07.20kedd,28.5,19.0,5.5,0.1
2021.07.21szerda,26.1,15.8,3.2,0.0
2021.07.22csütörtök,29.0,18.8,1.8,0.0
2021.07.23péntek,29.3,19.5,1.6,0.0
2021.07.24szombat,32.1,21.3,3.2,0.0
2021.07.25vasárnap,34.4,21.4,5.7,0.6
2021.07.26hétfő,33.7,20.8,4.8,1.8
2021.07.27kedd,33.1,23.4,3.3,0.0
2021.07.28szerda,35.8,25.4,5.2,0.0
2021.07.29csütörtök,33.2,21.4,4.2,0.2
2021.07.30péntek,36.3,24.0,4.3,0.2
2021.07.31szombat,30.3,23.0,5.1,3.3
2021.08.01vasárnap,35.5,20.5,7.8,4.8
2021.08.02hétfő,27.2,16.9,6.1,0.0
2021.08.03kedd,29.6,18.5,4.0,0.9
2021.08.04szerda,30.6,20.5,3.5,0.0
2021.08.05csütörtök,24.3,16.9,4.2,12.8
2021.08.06péntek,26.7,15.8,6.8,0.0
2021.08.07szombat,34.3,19.4,4.5,0.0
2021.08.08vasárnap,31.0,21.2,4.4,2.6
2021.08.09hétfő,30.3,18.6,4.3,0.3
2021.08.10kedd,32.7,22.5,2.9,0.0
2021.08.11szerda,33.4,23.1,5.1,0.0
2021.08.12csütörtök,31.2,21.4,4.0,0.0
2021.08.13péntek,33.2,21.3,2.6,0.0
2021.08.14szombat,35.9,24.1,4.5,0.1
2021.08.15vasárnap,36.4,25.5,6.7,5.0
2021.08.16hétfő,35.4,23.4,2.8,1.1
2021.08.17kedd,22.0,19.1,7.7,0.3
2021.08.18szerda,23.5,15.2,6.0,1.0
2021.08.19csütörtök,27.3,16.3,4.6,0.0
2021.08.20péntek,29.6,19.2,2.9,0.0
2021.08.21szombat,30.1,21.8,4.1,0.0
2021.08.22vasárnap,32.3,21.6,3.5,0.0
2021.08.23hétfő,24.0,19.5,6.1,0.1
2021.08.24kedd,25.5,17.1,4.4,0.1
2021.08.25szerda,20.7,16.9,2.8,0.0
2021.08.26csütörtök,24.2,15.8,6.0,0.7
2021.08.27péntek,20.6,15.5,4.8,1.4
2021.08.28szombat,21.5,14.5,2.6,2.4
2021.08.29vasárnap,23.1,14.0,3.1,9.4
2021.08.30hétfő,22.3,14.4,3.7,3.4
2021.08.31kedd,21.6,16.2,6.4,1.1
2021.09.01szerda,20.5,14.8,8.4,0.5
2021.09.02csütörtök,24.1,13.1,3.1,0.0
2021.09.03péntek,26.4,16.3,2.8,0.0
2021.09.04szombat,26.8,17.1,2.7,0.0
2021.09.05vasárnap,26.3,17.9,5.3,0.0
2021.09.06hétfő,25.5,15.7,2.6,0.0
2021.09.07kedd,26.7,16.9,2.1,0.0
2021.09.08szerda,27.5,17.3,2.0,0.0
2021.09.09csütörtök,27.3,17.5,3.5,0.0
2021.09.10péntek,28.1,18.2,1.9,0.0
2021.09.11szombat,28.7,18.6,1.4,0.0
2021.09.12vasárnap,29.1,19.6,2.0,0.0
2021.09.13hétfő,29.3,20.1,3.2,0.0
2021.09.14kedd,29.1,19.7,2.0,0.0
2021.09.15szerda,31.2,20.6,2.3,0.0
2021.09.16csütörtök,28.5,21.3,5.2,0.3
2021.09.17péntek,22.7,16.8,7.3,2.8
2021.09.18szombat,20.8,15.5,6.3,0.0
2021.09.19vasárnap,21.5,14.4,4.5,0.0
2021.09.20hétfő,18.5,12.3,3.2,0.0
2021.09.21kedd,18.1,10.6,3.8,0.0
2021.09.22szerda,15.3,11.9,6.5,0.3
2021.09.23csütörtök,19.5,10.1,3.5,0.0
2021.09.24péntek,20.1,14.4,6.8,0.0
2021.09.25szombat,25.8,15.1,3.6,0.0
2021.09.26vasárnap,27.0,17.3,2.6,0.0
2021.09.27hétfő,22.8,18.4,3.6,1.5
2021.09.28kedd,20.5,16.3,3.1,0.0
2021.09.29szerda,19.9,15.6,3.8,0.0
2021.09.30csütörtök,15.9,13.1,3.9,10.1
