,model,daynum,feature,target,error
185,"MLPRegressor(max_iter=1500, solver='sgd')",4,wind_rainfeatures,Min_temp,-0.8214070110538236
186,"MLPRegressor(max_iter=1500, solver='sgd')",4,allfeatures,Mean_temp,-0.1987042899172589
187,"MLPRegressor(max_iter=1500, solver='sgd')",4,onlytempfeatures,Mean_temp,-0.1908361967422959
188,"MLPRegressor(max_iter=1500, solver='sgd')",4,wind_rainfeatures,Mean_temp,-0.8249448203128997
189,"MLPRegressor(max_iter=1500, solver='sgd')",5,allfeatures,Max_temp,-0.23257578572785906
190,"MLPRegressor(max_iter=1500, solver='sgd')",5,onlytempfeatures,Max_temp,-0.22338750277071426
191,"MLPRegressor(max_iter=1500, solver='sgd')",5,wind_rainfeatures,Max_temp,-0.8247490513043918
192,"MLPRegressor(max_iter=1500, solver='sgd')",5,allfeatures,Min_temp,-0.20770592337162697
193,"MLPRegressor(max_iter=1500, solver='sgd')",5,onlytempfeatures,Min_temp,-0.20050382626373703
194,"MLPRegressor(max_iter=1500, solver='sgd')",5,wind_rainfeatures,Min_temp,-0.8196065909791249
195,"MLPRegressor(max_iter=1500, solver='sgd')",5,allfeatures,Mean_temp,-0.2041534999417598
196,"MLPRegressor(max_iter=1500, solver='sgd')",5,onlytempfeatures,Mean_temp,-0.1902454897567771
197,"MLPRegressor(max_iter=1500, solver='sgd')",5,wind_rainfeatures,Mean_temp,-0.8200393985234452
198,"MLPRegressor(max_iter=1500, solver='sgd')",6,allfeatures,Max_temp,-0.23696145553283018
199,"MLPRegressor(max_iter=1500, solver='sgd')",6,onlytempfeatures,Max_temp,-0.22378739965865688
200,"MLPRegressor(max_iter=1500, solver='sgd')",6,wind_rainfeatures,Max_temp,-0.8150820245727595
201,"MLPRegressor(max_iter=1500, solver='sgd')",6,allfeatures,Min_temp,-0.2113195368001633
202,"MLPRegressor(max_iter=1500, solver='sgd')",6,onlytempfeatures,Min_temp,-0.19769942761489287
203,"MLPRegressor(max_iter=1500, solver='sgd')",6,wind_rainfeatures,Min_temp,-0.8056531816929551
204,"MLPRegressor(max_iter=1500, solver='sgd')",6,allfeatures,Mean_temp,-0.20098307208991611
205,"MLPRegressor(max_iter=1500, solver='sgd')",6,onlytempfeatures,Mean_temp,-0.19503047198684434
206,"MLPRegressor(max_iter=1500, solver='sgd')",6,wind_rainfeatures,Mean_temp,-0.8209494498649749
207,"MLPRegressor(max_iter=1500, solver='sgd')",7,allfeatures,Max_temp,-0.23537666403506458
208,"MLPRegressor(max_iter=1500, solver='sgd')",7,onlytempfeatures,Max_temp,-0.2239168935513472
209,"MLPRegressor(max_iter=1500, solver='sgd')",7,wind_rainfeatures,Max_temp,-0.8164378987112905
210,"MLPRegressor(max_iter=1500, solver='sgd')",7,allfeatures,Min_temp,-0.2133603183066482
211,"MLPRegressor(max_iter=1500, solver='sgd')",7,onlytempfeatures,Min_temp,-0.2006289607724288
212,"MLPRegressor(max_iter=1500, solver='sgd')",7,wind_rainfeatures,Min_temp,-0.8152100878720783
213,"MLPRegressor(max_iter=1500, solver='sgd')",7,allfeatures,Mean_temp,-0.20291756660726157
214,"MLPRegressor(max_iter=1500, solver='sgd')",7,onlytempfeatures,Mean_temp,-0.19355834460150376
215,"MLPRegressor(max_iter=1500, solver='sgd')",7,wind_rainfeatures,Mean_temp,-0.8197783243265148
